cell,chloroplast,visual_start_time,start_time,end_time,move_time
1,1,8,8,27,19
1,2,11,7,50,43
1,3,5,6,17,11
1,4,7,10,41,31
1,5,6,4,43,39
1,6,5,2,37,35
1,7,9,13,35,22
1,8,14,15,38,23
1,9,12,12,38,26
1,10,17,2,39,37
1,11,16,18,23,5
1,12,19,19,40,21
1,13,13,13,32,19
1,14,10,10,32,22
1,15,11,10,48,38
1,16,18,20,41,21
1,17,19,20,62,42
1,18,29,6,88,82
2,1,7,10,17,7
2,2,5,2,68,66
2,3,9,45,73,28
2,4,24,23,63,40
2,5,27,30,83,53
2,6,30,33,75,42
2,7,40,44,82,38
2,8,10,10,19,9
2,9,14,20,62,42
2,10,5,22,37,15
2,11,9,12,32,20
3,1,4,1,14,13
3,2,9,9,22,13
3,3,3,Inf,Inf,Inf
3,4,6,3,20,17
3,5,9,11,24,13
3,6,7,3,23,20
3,7,11,7,23,16
3,8,4,Inf,Inf,Inf
3,9,4,1,12,11
3,10,22,19,64,45
3,11,20,18,63,45
3,12,15,9,41,32
3,13,12,13,38,25
4,1,3,Inf,Inf,Inf
4,2,8,10,21,11
4,3,5,6,20,14
4,4,8,9,28,19
4,5,4,10,23,13
4,6,14,13,51,38
4,7,17,18,40,22
4,8,14,15,41,26
4,9,7,7,26,19
4,10,19,20,48,28
4,11,24,23,39,16
5,1,9,10,23,13
5,2,13,Inf,Inf,Inf
5,3,14,20,44,24
5,4,5,Inf,Inf,Inf
5,5,17,Inf,Inf,Inf
5,6,22,19,60,41
5,7,13,20,51,31
5,8,25,14,41,27
5,9,16,18,39,21
5,10,15,19,46,27
5,11,26,31,38,7
5,12,20,21,40,19
5,13,9,Inf,Inf,Inf
5,14,1,Inf,Inf,Inf
6,1,1,1,11,10
6,2,6,13,22,9
6,3,12,10,40,30
6,4,6,11,24,13
6,5,7,6,41,35
6,6,11,1,33,32
6,7,11,4,50,46
6,8,30,15,56,41
6,9,10,9,36,27
6,10,11,13,29,16
6,11,18,8,48,40
6,12,39,28,69,41
6,13,14,22,43,21
6,14,35,25,60,35
6,15,26,14,89,75
6,16,21,21,86,65
6,17,12,8,55,47
7,1,5,1,29,28
7,2,8,2,36,34
7,3,8,3,25,22
7,4,19,32,67,35
7,5,7,10,26,16
7,6,18,15,30,15
7,7,2,Inf,Inf,Inf
7,8,7,9,19,10
7,9,6,7,32,25
7,10,19,18,47,29
7,11,6,12,26,14
7,12,20,15,32,17
7,13,10,Inf,Inf,Inf
7,14,15,14,39,25
8,1,6,9,19,10
8,2,8,9,27,18
8,3,7,9,18,9
8,4,21,21,33,12
8,5,7,8,26,18
8,6,7,12,16,4
8,7,7,5,34,29
8,8,33,29,71,42
8,9,6,5,29,24
8,10,7,Inf,Inf,Inf
8,11,17,18,77,59
8,12,16,19,78,59
8,13,21,10,49,39
9,1,5,1,19,18
9,2,4,6,17,11
9,3,10,9,29,20
9,4,13,12,41,29
9,5,10,11,22,11
9,6,6,4,19,15
9,7,10,10,32,22
9,8,13,13,33,20
9,9,26,17,76,59
9,10,18,16,58,42
9,11,13,12,30,18
9,12,10,13,30,17
9,13,17,18,26,8
9,14,19,20,70,50
9,15,11,25,84,59
9,16,14,16,49,33
